a2e8fa06 I_BDEV
932edf0d LZ4_compress_fast
755c86a3 LZ4_compress_fast_continue
7aa9b8bf LZ4_decompress_safe
1ada4747 LZ4_decompress_safe_continue
1633528f LZ4_decompress_safe_partial
cae7eb86 LZ4_loadDict
b0ac7316 LZ4_setStreamDecode
d0d3f1ae __ClearPageMovable
e05f606f __SetPageMovable
7c618db7 ___pskb_trim
a3384a5c ___ratelimit
4a725814 __alloc_pages_noprof
f9414958 __alloc_skb
d6571cd8 __amba_driver_register
61070450 __arch_clear_user
1f42c609 __arch_copy_from_user
1f42c609 __arch_copy_to_user
e096d5d0 __arm_smccc_hvc
e096d5d0 __arm_smccc_smc
6ea7a4f3 __bforget
5b887a7c __bh_read
9a657d91 __bh_read_batch
d914df8c __bitmap_and
d914df8c __bitmap_andnot
73417577 __bitmap_clear
4ca1830c __bitmap_complement
8f6643ae __bitmap_equal
8f6643ae __bitmap_intersects
fcab812c __bitmap_or
709af890 __bitmap_replace
73417577 __bitmap_set
2a13036d __bitmap_shift_left
2a13036d __bitmap_shift_right
8f6643ae __bitmap_subset
f284e440 __bitmap_weight
fcab812c __bitmap_xor
3d7c764a __blk_alloc_disk
1e499452 __blk_mq_alloc_disk
1c77ac19 __blk_mq_end_request
08269713 __blk_rq_map_sg
df3d87fc __blkdev_issue_discard
f0cfa7c3 __blockdev_direct_IO
f12bcb08 __bread_gfp
641726e5 __breadahead
88810c0d __break_lease
6ea7a4f3 __brelse
5c76e3f3 __check_object_size
b7d17430 __const_udelay
259423b0 __copy_overflow
4e994f70 __cpu_active_mask
4e994f70 __cpu_dying_mask
4e994f70 __cpu_online_mask
4e994f70 __cpu_possible_mask
4e994f70 __cpu_present_mask
140efaf8 __cpuhp_remove_state
d96d6f98 __cpuhp_setup_state
d96d6f98 __cpuhp_setup_state_cpuslocked
0487e72f __crypto_memneq
34cf4b26 __d_lookup_unhash_wake
57d562f2 __dev_direct_xmit
d20845b1 __dev_get_by_index
8dcf2ec8 __dev_get_by_name
901e0d55 __dev_queue_xmit
8f2f5f33 __devm_drm_dev_alloc
42c20278 __devm_mdiobus_register
da7a93a2 __devm_release_region
60791d70 __devm_request_region
1243705a __dma_sync_sg_for_cpu
1243705a __dma_sync_sg_for_device
bc42908a __dma_sync_single_for_cpu
bc42908a __dma_sync_single_for_device
2ec5a7d8 __do_once_done
312ee89e __do_once_start
9ed85f5c __drm_atomic_helper_bridge_duplicate_state
9ed85f5c __drm_atomic_helper_bridge_reset
bd8bd188 __drm_atomic_helper_connector_destroy_state
630b7c2c __drm_atomic_helper_connector_duplicate_state
90c409b2 __drm_atomic_helper_connector_reset
804ef08e __drm_atomic_helper_crtc_destroy_state
6bd7f78b __drm_atomic_helper_crtc_duplicate_state
e078ab8c __drm_atomic_helper_crtc_reset
6d640edb __drm_atomic_helper_disable_plane
368fef3e __drm_atomic_helper_plane_destroy_state
f2b22cab __drm_atomic_helper_plane_duplicate_state
5a6760aa __drm_atomic_helper_plane_reset
55a675fc __drm_atomic_helper_private_obj_duplicate_state
ca123854 __drm_atomic_helper_set_config
7b1c1803 __drm_atomic_state_free
cdb1c41f __drm_crtc_commit_free
e82c42ee __drm_debug
290d4e5f __drm_dev_dbg
dfbdca25 __drm_err
9027f473 __drm_gem_destroy_shadow_plane_state
dd0676a1 __drm_gem_duplicate_shadow_plane_state
fc781882 __drm_gem_reset_shadow_plane
c5e4b39b __drm_printfn_coredump
c5e4b39b __drm_printfn_dbg
c5e4b39b __drm_printfn_info
c5e4b39b __drm_printfn_seq_file
4a070b6b __drm_puts_coredump
4a070b6b __drm_puts_seq_file
c561ffb3 __drm_universal_plane_alloc
e1db9094 __drmm_add_action_or_reset
5016e05b __drmm_crtc_alloc_with_planes
0a0baab6 __drmm_encoder_alloc
ddf135dd __drmm_simple_encoder_alloc
c561ffb3 __drmm_universal_plane_alloc
d46b0821 __drmm_workqueue_release
b7f22bcd __dynamic_dev_dbg
c40b9bba __dynamic_netdev_dbg
a3ead993 __dynamic_pr_debug
c71fd974 __ethtool_get_link_ksettings
05414f33 __filemap_get_folio
e098c43d __filemap_set_wb_err
c3325950 __flush_workqueue
be2f8da0 __folio_alloc_noprof
01c2a95d __folio_batch_release
27e25fdc __folio_cancel_dirty
1cf558e3 __folio_lock
55afecc9 __folio_put
c3c4b988 __folio_start_writeback
31b67631 __fortify_panic
d6fc32c6 __free_pages
e6c06170 __fs_parse
8223fc04 __generic_file_fsync
25339334 __generic_file_write_iter
accab101 __genphy_config_aneg
985b4740 __get_random_u32_below
a4e5f557 __get_unmapped_area
f774aa48 __hw_addr_init
183ef33d __hw_addr_sync
52ac7d9d __hw_addr_sync_dev
99c9eb8b __hw_addr_unsync
8c88db2f __i2c_smbus_xfer
a293b777 __i2c_transfer
e3a75b77 __icmp_send
3243c3b6 __iio_device_register
891ed129 __iio_trigger_alloc
3d32d6bc __inet6_lookup_established
f478b455 __init_rwsem
d4e429b7 __init_swait_queue_head
de463212 __init_waitqueue_head
1dfa8e44 __insert_inode_hash
db29e870 __iowrite32_copy_full
2eed5020 __ip_dev_find
d6f9c44c __ip_select_ident
49a65718 __ipv6_addr_type
d1859a57 __irq_regs
2e797840 __kfence_pool
8cf44413 __kfifo_alloc
389bc72d __kfifo_dma_out_prepare
8b83bd85 __kfifo_free
a8c55df1 __kfifo_from_user
1dda18a3 __kfifo_from_user_r
069f1edd __kfifo_in
485ecf67 __kfifo_in_r
06d7e39f __kfifo_init
47b9c680 __kfifo_len_r
d182ed24 __kfifo_out
208f2a8c __kfifo_out_linear
d182ed24 __kfifo_out_peek
4dc8e808 __kfifo_out_r
0b3b70bb __kfifo_to_user
25cc4169 __kfifo_to_user_r
dfe44c00 __kmalloc_cache_node_noprof
6cc46e45 __kmalloc_cache_noprof
aa1e012a __kmalloc_large_node_noprof
27865ec7 __kmalloc_large_noprof
ce746d07 __kmalloc_node_noprof
8ea1a537 __kmalloc_node_track_caller_noprof
27865ec7 __kmalloc_noprof
41f900f7 __kmem_cache_create_args
08eff872 __kvmalloc_node_noprof
6fabd45b __list_add_valid_or_report
802f8919 __list_del_entry_valid_or_report
98e34159 __local_bh_enable_ip
6ea7a4f3 __lock_buffer
f44b0aa3 __lruvec_stat_mod_folio
3d1fa24d __mark_inode_dirty
fe4dee32 __mdiobus_read
bfcd397b __mdiobus_register
901acee9 __mdiobus_write
7c5d831e __memcpy_fromio
45336082 __memcpy_toio
35a367f6 __memset_io
3aba7e59 __mmap_lock_do_trace_acquire_returned
2d324ffe __mmap_lock_do_trace_released
2d324ffe __mmap_lock_do_trace_start_locking
c90da36b __mmc_claim_host
7e0e1264 __mod_zone_page_state
648e225c __module_get
5fea9f7a __module_put_and_kthread_exit
7162a662 __msecs_to_jiffies
81d49dc6 __mutex_init
32d797d6 __napi_alloc_frag_align
cb49fe39 __napi_schedule
cb49fe39 __napi_schedule_irqoff
4b53a5fe __ndelay
dba84e28 __neigh_create
b8d41096 __neigh_event_send
32d797d6 __netdev_alloc_frag_align
ea8f1e46 __netdev_alloc_skb
36a9b43e __netif_napi_del
a58606e3 __netif_rx
deb3d78f __netif_schedule
919737ba __netlink_dump_start
f83c5a93 __netlink_kernel_create
77a951fe __nla_parse
dd1772f9 __nla_validate
6ddde1da __nlmsg_put
2182515b __num_online_cpus
c07a2e81 __of_get_address
addf629b __of_mdiobus_register
e99699d5 __of_parse_phandle_with_args
da3b3fb6 __page_frag_alloc_align
a808b16f __page_frag_cache_drain
eedfd0ae __pci_register_driver
0de4cab5 __per_cpu_offset
243fb37e __percpu_counter_init_many
68a5830f __pkvm_load_el2_module
9c52d952 __pkvm_register_el2_call
cf9e0306 __printk_ratelimit
b1105d60 __pskb_copy_fclone
516786dc __pskb_pull_tail
abe348c2 __put_cred
0f943ae3 __qdisc_calculate_pkt_len
46914df8 __rb_erase_color
34cf1241 __rb_insert_augmented
9f6c233b __read_overflow2_field
09dd69e9 __refrigerator
34fc6d27 __register_blkdev
2805073e __register_chrdev
0219a521 __register_rpmsg_driver
5edad05f __release_region
ad93d3cd __remove_inode_hash
144d0439 __request_module
48a9573c __request_region
419a3f57 __scm_destroy
fefd35c6 __scsi_add_device
aef370eb __scsi_device_lookup_by_target
b86f5d55 __scsi_format_command
beb84605 __scsi_iterate_devices
17177de2 __scsi_print_sense
1ede4015 __seq_open_private
4dad14a0 __seq_puts
ffb1d273 __serio_register_driver
dfe81b4b __serio_register_port
9ac5ca21 __sg_page_iter_dma_next
fe5245dc __sg_page_iter_next
14a82f38 __sg_page_iter_start
f6da4f46 __sk_dst_check
dd2babff __sk_mem_reclaim
3e7f97a4 __sk_mem_schedule
6d8b8148 __sk_receive_skb
e64743ad __skb_checksum_complete
52f391a2 __skb_ext_put
6bc710ab __skb_flow_dissect
b7023e8d __skb_get_hash_net
0c118ebf __skb_gso_segment
7707e1d9 __skb_pad
e070fd96 __sock_create
a820fece __sock_queue_rcv_skb
440a137d __sock_tx_timestamp
987b941d __splice_from_pipe
d272d446 __stack_chk_fail
e6b91231 __sw_hweight16
e6b91231 __sw_hweight32
be1fa9a4 __sw_hweight64
e6b91231 __sw_hweight8
9ebfa55d __sync_dirty_buffer
3c1aa36f __sysfs_match_string
41b47910 __task_pid_nr_ns
d2f2bc67 __tasklet_hi_schedule
d2f2bc67 __tasklet_schedule
157b9e49 __traceiter_dma_fence_emit
3033de20 __traceiter_gpu_mem_total
d04938ef __traceiter_kfree
c7687e44 __traceiter_kmalloc
08c95fb3 __traceiter_kmem_cache_alloc
4a51234d __traceiter_kmem_cache_free
f8998e3c __traceiter_mmap_lock_acquire_returned
d94af13e __traceiter_mmap_lock_released
d94af13e __traceiter_mmap_lock_start_locking
7c5aa8a7 __tracepoint_dma_fence_emit
7c5aa8a7 __tracepoint_gpu_mem_total
7c5aa8a7 __tracepoint_kfree
7c5aa8a7 __tracepoint_kmalloc
7c5aa8a7 __tracepoint_kmem_cache_alloc
7c5aa8a7 __tracepoint_kmem_cache_free
7c5aa8a7 __tracepoint_mmap_lock_acquire_returned
7c5aa8a7 __tracepoint_mmap_lock_released
7c5aa8a7 __tracepoint_mmap_lock_start_locking
d398015b __tty_alloc_driver
25941470 __tty_insert_flip_string_flags
0aa2a774 __udelay
52e65492 __unregister_chrdev
f7a60360 __usecs_to_jiffies
